Code,Student Type,Type,Program Name,School,Degree(s),Status,Active Term,Inactive Term,End Term,Campus,Note
R&ES,undergraduate,minors,"Russian, East European and Eurasian Studies",CAS,,active,,,,,
R&ES,graduate,certificates,"Russian, East European and Eurasian Studies",CAS,,active,,,,,
R&ES,graduate,majors,"Russian, East European and Eurasian Studies",CAS,M.A.,active,,,,,
REL,undergraduate,majors,Religious Studies,CAS,"B.A., B.S.",active,,,,,
REL,undergraduate,minors,Religious Studies,CAS,,active,,,,,
REL,graduate,majors,Religious Studies,GRAD,"M.A., M.S.",active,,,,,See Interdisciplinary Studies: Individualized Program.
RIC,graduate,specializations,Regional and International Conflict,LAW,,active,201701,,,,
RL,undergraduate,majors,Romance Languages,CAS,B.A.,active,,,,,
RL,graduate,majors,Romance Languages,CAS,"Ph.D., M.A.",active,,,,,
SAS,undergraduate,minors,South Asian Studies,CAS,,active,201201,,,,
SBP,graduate,specializations,Sustainable Business Practices,BUS,,active,,,,,
SCAN,undergraduate,minors,Scandinavian,CAS,,active,,,,,
SCCO,undergraduate,minors,Science Communication,SOJC,,active,202101,,,,
SDSC,undergraduate,majors,Spatial Data Science and Technology,CAS,"B.A., B.S.",active,201701,,,,
SEAS,undergraduate,minors,Southeast Asian Studies,CAS,,active,,,,,
SEDC,undergraduate,certificates,Special Education,ED,,active,201601,,,,
SLNG,undergraduate,certificates,Second-Language Acquisition and Teaching,CAS,,active,,,,,
SLPS,graduate,specializations,Spanish Language Psychological Service and Research,ED,,active,,,,,
SOC,undergraduate,majors,Sociology,CAS,"B.A., B.S.",active,,,,,
SOC,graduate,majors,Sociology,CAS,"Ph.D., M.A., M.S.",active,,,,,
SOCL,undergraduate,minors,Sociology,CAS,,active,201501,,,,
SPAN,undergraduate,majors,Spanish,CAS,B.A.,active,,,,,
SPAN,undergraduate,minors,Spanish,CAS,,active,,,,,
SPAN,graduate,majors,Spanish,CAS,M.A.,active,,,,,
SPBU,graduate,specializations,Sports Business,BUS,,active,,,,,
SPD,graduate,majors,Sports Product Design,DSGN,M.S.,active,201601,,,,
SPED,undergraduate,minors,Special Education,ED,,active,,,,,
SPED,graduate,majors,Special Education,ED,"D.Ed., Ph.D., M.A., M.Ed., M.S.",active,,,,,
SPMG,graduate,majors,Sports Product Management,BUS,M.S.,active,201501,,,,
SPMO,graduate,majors,Sports Product Management,BUS,M.S.,active,201803,,,Online,
SPND,graduate,majors,Spanish,CAS,Ph.D.,active,202201,,,,
SPOB,undergraduate,minors,Sports Business,BUS,,active,201801,,,,
SPRH,graduate,majors,Special Education: Rehabilitation,ED,"D.Ed., Ph.D.",active,,,,,
SPSY,graduate,majors,School Psychology,ED,"Ph.D., M.A., M.Ed., M.S.",active,,,,,
STC,graduate,majors,Strategic Communication,SOJC,"M.A., M.S.",active,,,,,
SUSB,undergraduate,minors,Sustainable Business,BUS,,active,201901,,,,
TA,undergraduate,majors,Theater Arts,CAS,"B.A., B.S.",active,,,,,
TA,undergraduate,minors,Theater Arts,CAS,,active,,,,,
TA,graduate,majors,Theater Arts,CAS,"Ph.D., M.A., M.F.A., M.S.",active,,,,,
TDAN,undergraduate,certificates,Teaching Dance,SOMD,,active,201801,,,,
TRST,graduate,specializations,Translation Studies,CAS,,active,201501,,,,
TTA,graduate,certificates,Technical Teaching in Architecture,DSGN,,active,,,,,
URAD,graduate,specializations,Urban Architecture & Urban Design,DSGN,,active,,,,,
URHP,graduate,specializations,Urban Historic Preservation,DSGN,,active,201701,,,,
VIOP,graduate,specializations,Violin/Viola Pedagogy,SOMD,,active,202001,,,,
WGS,undergraduate,majors,Women's and Gender Studies,CAS,"B.A., B.S.",inactive,,201701,202304,,
WGS,undergraduate,minors,Women's and Gender Studies,CAS,,inactive,,201701,202304,,
WGS,graduate,certificates,Women's and Gender Studies,CAS,,inactive,,201701,202304,,
WGSC,graduate,certificates,"Women's, Gender, and Sexuality Studies",CAS,,active,201701,,,,
WGSM,undergraduate,minors,"Women's, Gender, and Sexuality Studies",CAS,,active,201701,,,,
WGSS,undergraduate,majors,"Women's, Gender, and Sexuality Studies",CAS,"B.A., B.S.",active,201701,,,,
WSCR,undergraduate,certificates,"Writing, Public Speaking and Critical Reasoning",CAS,,active,,,,,
WSCR,undergraduate,minors,"Writing, Public Speaking and Critical Reasoning",CAS,,active,,,,,
